web-scraper-order,text,section,topic,urls,userMentions,isReply,emojis,Expression of emotions,Use of humor,Self-disclosure,Referring explicitly to others' messages,Asking questions,"Complimenting, expressing appreciation or criticism",Expressing agreement or disagreement,"Phatics, salutations"
1604007613-1706,"Yes - there are a lot of borderline cases in this project, one of the reasons this is different from most other Zooniverse projects is that we get weird signals that do not fit neatly into a single category just as often as we get normal signals! This is my take on it, but I don't think there is necessarily 1 correct answer:
The first one (USQP3ZYrW7) I would call a Koi Fish, though it doesn't have the normal fins.
z9CWu9ki7o I would call a low frequency line - if it is sitting right at the bottom of the frequency range and doesn't change all too much over time
If it has any kind of humpy-ness or curvy-ness to it, I'd call it a scattered light, like example 1vyjP7fCVs
If something is sitting at low frequencies but has more abrupt frequency changes, I'd call it a low frequency burst. dBKwQK0bTo is borderline, but I think it could fit into that category.
And if something doesn't fit any of these descriptions, I'd mark it as none of the above. Like GbGpa489qy in your collection.
",chat,"I'm unsure if some of these are LFB, LFL, or scattered light",,,TRUE,,0,0,1,0,0,0,0,0
1604008621-2341,"@team
",chat,Voids,,@team,,,0,0,0,0,0,0,0,0
1604009048-2542,"Hey everyone,
I was wondering who I should put down as the contact person for volunteering hours.
Does anyone know the email and name of the person I should put down?
",chat,Volunteering Hours,,,,,0,0,0,0,1,0,0,1
1604008222-2010,"Fantastic @EcceruElme that is wonderful! I will definitely look at this!
I have written on the Subject itself but will repost here what type of glitch this is:
""This glitch is called an Electrostatic Drive (ESD) Overflow. The ESD is the system that keeps the mirrors in place through moving the test mass/reaction mass and if too much energy is sent to it, it overflows in one big pulse!""
Thanks again @EcceruElme and please read through the links, and let the team know!
",chat,GW170817 - The first observation of gravitational-waves from a binary neutron star inspiral,/users/EcceruElme;/users/EcceruElme,@EcceruElme;@EcceruElme,,,1,0,1,0,0,1,0,0
1604008222-2011,"#scale - ESD overflow from Livingston
scale collection

#fountain - similar to scale but they are all from Hanford. (Are they also caused by ESD overflow and they look slightly different because they are from the other detector?)
fountain collection

#deltoid - another possible morphology relative of scale (Might have different origin than ESD overflow but it is maybe possible too that they were caused by the same problem but lower owerflow?) They are from Livingston.
deltoid collection

There are some other type of glitches morphologically related to scale/ ESD Overflow.
@team
",chat,GW170817 - The first observation of gravitational-waves from a binary neutron star inspiral,/projects/zooniverse/gravity-spy/talk/tags/scale;https://www.zooniverse.org/collections/ecceruelme/scale;/projects/zooniverse/gravity-spy/talk/tags/fountain;https://www.zooniverse.org/collections/ecceruelme/fountain;/projects/zooniverse/gravity-spy/talk/tags/deltoid;https://www.zooniverse.org/collections/ecceruelme/deltoid,@team,,,0,0,0,1,1,0,0,0
1604008252-2051,"fed up, I mean.
",chat,Abandoned thread,,,,,1,0,0,0,0,0,0,0
1604007908-1834,"(most of these ideas have nothing to do with the original topic, but I'm just tacked them on because they came flowing while I was in here and can't see creating a new discussion)
Another ideas
15.    It would be nice to have a system that would track the location of the mouse pointer in the frequency and time coordinates. So, say I hover over a location in the image, somewhere outside of the image there could be a box with the coordinates of my current mouse location within the grid. I would prefer it not hover near the mouse because that would cover the image. It would help with identifying better frequencies and time locations for events when discussing them.

For advanced users, it could be useful to have a way for you to continuously keep moving within the Time coordinate to the next image. Like as a way to classify as a continuous time reel. I'm think if you were to use a click in the image to identify the glitches (and have a way to quickly classify each glitch in the full image) then you could scroll to the right with a button or something and just keep on going with classifying them in a continuous manor. Could give context into possible causes of glitches and lead to other connections being made. (ie, maybe a certain glitch is always preceded by a certain glitch or weak signal)

",chat,None of the Above Alternative Use Ideas,,,,,0,0,0,0,0,1,0,0
1604008948-2507,"This comment has been deleted
",chat,one-person tally of glitches,,,TRUE,,0,0,0,0,0,0,0,0
1604008921-2478,"1
",chat,A possible btk solution,/projects/zooniverse/gravity-spy/talk/subjects/5737720,,,,0,0,0,0,0,0,0,0
1604009328-2615,"Scattered Light looks unusual (zoom out to frame 4!) when rendered with coarser frequency resolution and finer time resolution than usual...
Background:
Gravity Spy deals with glitches which may be of short or long duration, and which may be confined to a single frequency or span broad frequency bands. But there is a tradeoff between time and frequency resolution in our spectrograms. Each glitch is therefore preprocessed at four different settings for the ""Q-value"", 5.66 or 11.3 or 22.6 or 45.3 (the geometric midpoints of the intervals 4-8-16-32-64), and the one that gives the highest signal-to-noise ratio is used to render the image. Low Q-values correspond to fine time resolution at the expense of coarse frequency resolution, emphasizing short-duration broadband features. High Q-values correspond to coarse time resolution and fine frequency resolution.
Gravity Spy subjects from the third observation run O3 and the preceding Engineering Runs have the chosen Q-value included in their metadata (click on the (i)nfo button under the image). With some experience, one can guess the Q-value from whether the background noise texture looks more vertical or more horizontal.
Many glitch classes are most visible at a particular Q-value, and thus most often appear at that Q-value: E.g., Blips at 5.66, Crowns (from Livingston) at 11.3, Damped Crowns / Coronets (a proposed class) at 22.6, and Scattered Light at 45.3.
But sometimes we see them rendered at a different Q-value - often (not always) when glitches of different kinds occur side by side - and then the visual appearance can change, subtly or dramatically. The ""trees"" in the Gravity Spy logo subject 13741669 are what Blips and Koi Fish look like when rendered at Q 45.3.
The title picture above shows a Scattered Light rendered at Q 22.6.
",chat,Examples of common glitches at uncommon Q-values,/projects/zooniverse/gravity-spy/talk/subjects/39544735;/projects/zooniverse/gravity-spy/talk/762/1245502;/projects/zooniverse/gravity-spy/talk/subjects/36386793,,,,0,0,0,1,0,0,0,0
1604007521-1650,"Darn, that took me longer than expected.

This sounds almost exactly like a Reddit style format... Where a mod has content control over their discussion. Same thing with the hostile takeover aspect.

I do know Reddit, but don't know there forum features. At GS Talk, the topic OP (Original Poster) would still only have controle over there own first post. ... Post-controle which, as far as I know, can't be transferred to someone else at Zooniverse. Ergo: the (virtual) hostile (but it could also be a friendly) takeover idea.

It could work but is overly complex in my opinion.

I think the complexity here is somewhat relative and subjective. With the current Zooniverse Talk features, I don't see an easier way. ... Other than coming up with a better documentation on the idea.
If you see an alternative/easier way, I'm all ears. 

My argument, which is really a side topic from your discussion, is that tags that are able to be defined specific to certain glitches, should be a new classification category.

Well that's up to the GS team. Some things to keep in mind here are:

Currently, as I understand it, a Zooniverse projects looses there 'Approved' status when changes are made to the project files (which is a subject that's under discussion at Zooniverse level.).
Even whiteout point 1 the project user community is generally more flexible and will probably spot new signals before the GS team does.
Currently the GS project setup seems not yet geared for speedy addition of new signals. This might change in the future, but they still will need some time to study potential new signals before deciding to include them (or not) in the official classification process.


it seems like to me only maybe 10 to 20% would dig that deep and find it helpful

I don't really find that relevant.
""According to the U.S. Census Bureau, as of 2012, 8.05 percent of the population in the United States ages 25 and older has a master's degree. Another 3.07 percent has gone one step further and has a doctoral or professional degree.""

to see and understand potentially hundreds of tag categories on top of 20 classification categories.

I don't think ""potentially hundreds of user-named-signals"" are to be expected, ... although that could depend on the signal-hashtag-list maintainer. Needles to say some quality controle is implied here. And than there is also the fact that signals could go away again, like this signal did.

It gets complicated... and maybe that's a good reason to ax the idea...

I think the basic idea is relative simple, and only has one real goal. There might be some potential problems with it. But those seem at this point more virtual than real.

but as I see them... tags shouldn't be to classify.

Here I'm not sure to what your revering to. As there is no direct classification intend attached to the basic OP (Original Post) idea, as least not in my mind.

They should be to help create new categories to then include them into a tool that does help them be official classified.

This idea, in my view, could do the first part. The second part is up to the GS team.
To restate the basic idea's: (lets use a new post for that.)
",chat,The Zooniverse Hashtag System ...,https://www.reference.com/education/percentage-population-master-s-degrees-e81e9ab5991231e0;https://www.zooniverse.org/projects/zooniverse/gravity-spy/talk/subjects/1951944,,,😃,1,0,1,1,0,1,0,0
1604008132-1941,"But blips are, as far as we're told so far, are not coincidentally detected between detectors. Except potentially these echos... which aren't really confirmed as being real yet. We need more inspirals!
I know of one very short blip that is high frequency... and it's surrounded by scratchy. So, maybe scratchy events are hints of real gravitational waves....? the field guide lists scratchy as


LIGO experts have not yet identified the source of this noise. It was one of the key limitations in searches for binary black hole mergers and the search experts referred to it as ""that annoying scratchy noise"".


If scratchy is echos or somehow related to after gravitational wave events, then that's encouraging!
",chat,News,,,TRUE,,1,0,1,0,1,1,0,0
1604008218-2007,"nice to see that something is being done at all. at least every field guide entry has some example pictures now.
maybe you could implement some new glitch classes next, like a catch-all for horizontal lines of different frequencies.
The tutorials that explain the classification could be a bit more in-depth as well.
I was quite frustrated when told not to classify a glitch in more than one category only after having made over 500 classifications! Why even give the possibility to do so, if we're not supposed to? (the image in question was a gold standard that had both a 1080 line and a clear line at a lower frequency, I classified as both 1080 and nota)
",chat,Some suggestions.,,,TRUE,,1,1,1,0,0,1,0,0
1604009195-2594,"It depends!
Some very long discussion threads are associated with gold-standard subjects - those which serve to train us volunteers, and which provide feedback - and these do get shown to very many people. (And many entries in longer threads arise as replies to earlier entries, not directly from clicking Done & Talk in the Classifier.)
For all other subjects - those where our submissions help to train the Machine Learning - there is no fixed number of classifications. The software keeps a score of what has been submitted and what the ML itself has come up with, and deduces a confidence estimate about how reliable the classification already is, updating it with every new submission. Subjects which don't converge on a glitch class eventually migrate to a more advanced workflow.
The researchers, at any time, can run queries against the Gravity Spy database asking for e.g. all glitches from Hanford that happened during O3 and which are deemed to be Whistles with a confidence of at least 85%. And so on.
Unlike many other Zooniverse projects, subjects never get completed/retired automatically after a given number of classifications or after exceeding a given confidence threshold - retirements only happen when the researchers run a customized batch job. (This happens very rarely, and thus what Zooniverse is able to display about the Gravity Spy completion percentage, total or per workflow, is always deceptively low. And it has kept decreasing whenever the detectors have been up and running and several thousand subjects per day got freshly uploaded...)
On average, to date, each subject has received less than 2 classifications - we're standing at 1,624,836 subjects at present and approaching 2.9 million classifications. I've often seen newly uploaded subjects in the Classifier within a day or two of the glitch event happening: we're certainly not focusing on heavily-classified images at the expense of new ones in more need of input. Rather the opposite!
",chat,How many people view each image?,,,TRUE,,1,0,0,0,0,1,0,0
1604008553-2271,"Hi Ecce, the simple algorithm would just scan every classified subject and list all the ones that contain pixels that are not on the amplitude scale. Then a search could be done from within that list for particular colours (identified by a human) to separate reddy brown from orange from black etc
Then the algorithm would cluster the subjects into classes.
It is a crude, blunt instrument type of experiment.
A sort of just do it and see what happens scenario.
I have not forgotten about posting my self-made omegascans for the bns merger chirp.  @EcceruElme cheerio for now Christine
",chat,Out of scale colors,/users/EcceruElme,@EcceruElme,TRUE,😀;😀,1,0,1,0,0,1,0,1
1604008983-2524,"Wow! A perfect #mirrorchirp.
I want to know: is it known what causes these glitches? If anyone knows, that please tell me. Are they injections? Are they weak tomtes/blips?
",chat,Mirror chirp in O3,/projects/zooniverse/gravity-spy/talk/subjects/39516157;/projects/zooniverse/gravity-spy/talk/tags/mirrorchirp,,,,1,0,0,0,1,0,0,0
1604009173-2578,"All examples of Light Modulation I've seen have the LF noise chronologically after the medium to high frequency spikes - to the right of them in the images.
Thank you for pointing this out! I hadn't yet noticed this discrepancy. I've made a note of it now - I'm collecting little details about the wording and example pictures in the classifier and Field Guide which will need addressing to the researchers. (I'm not passing on every single one at a time, though. Classifier edits in Zooniverse are disruptive - the whole workflow needs to be temporarily disabled.)
By the way, Light Modulation glitches as described and illustrated seem to have been a thing of the past. There are few if any convincing examples from O3. The Light Modulation machinery as a cause for glitches has still been an occasional issue during O3, but the visible symptoms seem to have taken other shapes.
",chat,Light Modulation,,,TRUE,,0,0,1,0,0,1,0,0
1604009347-2639,"Another thing I've noticed while back-classifying: there are some crowns in the lower levels too.
I will link a collection when I have enough subjects...
",chat,Virgo O3 in how many levels,,,,,0,0,0,0,0,0,0,0
1604008129-1923,"In theory, with 60cps power supply, there will be 120 peak voltages (alternately + and -) per second resulting in a 120 Hz line; and if there is equipment that can sense (I don't know how) specific voltage values in the cycle this could cause a 240 Hz linear glitch. I don't know more than that.
",chat,Power line frequency,,,,,0,0,1,0,0,0,0,0
1604008112-1890,"I think the new spectrograms called pixelated make it easier to see the difference between glitches. The glitches look sharper with better defined edges, for example earlier many glitches looked like koi fish because of the arms and flames. These details have much lower energy than the core or the body of the glitch but it is less obvious on the original style. It is possible to collate original and new version of glitches, but the same time we should classify based on the new appearance, so for example something looked like floorkoi before, based on the new spectrograms is not a koi fish but a new type of glitch and it should not be classified as koi fish any more even if we know that it looked like that before.
Examples : Subject 5805165 vs Subject 10564216 vs Subject 10511932
on this three examples I think we can see the advantage of the new spectrograms:
Subject 10564216 and Subject 10511932 do not look like koi fishes (in my opinion at least) and earlier this two types would have been difficult to differentiate but now I think they are two different types (maybe related).
The same time there are glitches which has not changed their shape so much and they can be classified based on the old morphology.
Maybe some examples of the official glitch classes created in the new style would be useful to add to the classification table, if it could help to identify new types? @mzevin1
",chat,Pixelated glitches,/projects/zooniverse/gravity-spy/talk/subjects/5805165;/projects/zooniverse/gravity-spy/talk/subjects/10564216;/projects/zooniverse/gravity-spy/talk/subjects/10511932;/projects/zooniverse/gravity-spy/talk/subjects/10564216;/projects/zooniverse/gravity-spy/talk/subjects/10511932;/users/mzevin1,@mzevin1,TRUE,,0,0,1,1,1,0,0,0
1604007515-1637,"I apologize if this already exist and I just can't find it yet.  I'd like, if it's possible and not too much of a distraction from the point of the project, for there to be a way for users to find the posts they have made once they drop off the first page of a forum.  For example, since we can't name the talk discussions about the specific glitches we post as new entries, I often don't remember the number of the image, so I can't find it again.
",chat,Forum improvement/change idea,,,,,1,0,1,0,0,0,0,0
1604008909-2468,"This is the afore-mentioned non-fireball
",chat,Fireballs in O3,/projects/zooniverse/gravity-spy/talk/subjects/33659139,,,,0,0,0,0,0,0,0,0
1604007517-1641,"The ones with feedback are there to help you learn the nuances of glitches. They are known samples that basically are teaching you.
The ones with no feedback are the ones that you're helping to build up a classification for to teach the Machine Learning algorithm. It's hard to say any one is more important than the other, because it's a system, but the no feedback ones are especially useful.
https://www.zooniverse.org/projects/zooniverse/gravity-spy/about/research gets into it a little and the ""FAQ"" tab also gets into the project more. It's a very enlightening read.
",chat,Feedback,https://www.zooniverse.org/projects/zooniverse/gravity-spy/about/research,,,,0,0,0,1,0,0,0,0
1604009181-2585,"I looked at all the information, but I can't tell how to actually start DOING anything.  Help?
",chat,How does this project work?,,,,,0,0,1,0,1,0,0,0
1604008289-2084,"Hi again @achilles308 , I thank you for the links though second link from the former discussion you told me leads me to Bjorn-s' collection --did I make here a little mistake?
Noise and signal criterion is valid for any instrumental analytical chemistry technique, not only spectroscopical ones, and widespread accepted and known in analytical chemistry community. The noise is assumed to have a Normal distribution, the corresponding standard error is the baseline for computing the 3-fold threshold (for a significance level enabling to be mistaken less than 1% times). Then, 3 is the Normal ""percentile"" generally adopted, so any peak in the noisy data being 1.5 or 2 times higher than the noise spread is often taken as a noise itself. But peaks which ""lift off"" above the background with an intensity 3 times higher than the standard error of the noise can be classified as a truly signal (analytical signal is the technical term) --then one expects to be mistaken with a probability below 1%. Notice that a percentile 2 or 1.96 would make us to be mistaken about the nature of the signal-candidate about 5% of times, 1 time per 20 attempts! I really believe the 1D definition of signal to noise ratio can straightforward be generalized to a 2D phase-space like that of glitches,. By observing how great is the fluctuation in a #noglitch image you can compute (by the triple of this amount) the minimum peak to be taken as a non-noisy and truly glitch. Strictly speaking, peak height should be measured from the top values of noise for applying the 3-sigmas threshold, but I start to count from a 0 energy in the pictures (noisy background fluctuation uses to be close to 3 units, seldom is 5, please verify it). Color-scales helps so much!
Not being a geologist, 100 Hz vibrations are very well explained by you, but I wonder if a seismic origin is feasible. For the dimensions of the beam tube, I cannot realize now how the wind could act on it (unless there is a hurricane or wild wind involved ), but external supports can give a clue. Low frequency events or waves in the floor may excite vibrational modes in the structure. Wavy-trains with one half second endurance, a regular pattern I could detect in my collection, would imply an almost constant relaxation time --I suspect a Fourier analysis (if possible) of the glitches can help to characterize them.
I confess classical wave mechanics is not my best friend, but your explanation is very good whatever is the reason of the #midfrequencyline glitches.
The non-filtered occurrence of midfreq lines close to 2-3% is another helpful parameter, since low frequency noise uses to be intense (it is well known the ""1/f law of noises"" affecting devices and equipment in analytical chemistry, where f is frequency). LIGO exhibits this pattern clearly below 10 Hz, from the pictures I could see in LSC webpage.
Thank you very much, and ask as much as needed about my ""3-fold criterion"" if you want. Regards!
",chat,Why the GW channel detects thirsty black ravens along with colliding black holes,/users/achilles308;/projects/zooniverse/gravity-spy/talk/tags/noglitch;/projects/zooniverse/gravity-spy/talk/tags/midfrequencyline,@achilles308,TRUE,😃,1,0,1,1,1,1,0,1
1604008490-2241,"Hi Melina! I agree, it is a potential new type of glitch started to tag them as #50sb_virgo and collected as Virgo_50sb.
",chat,New glitch class in Virgo,/projects/zooniverse/gravity-spy/talk/tags/50sb_virgo;https://www.zooniverse.org/collections/ecceruelme/virgo-50sb,,,,0,0,0,1,0,0,1,1
1604008197-1975,"I struggle with examples such as this... it is often the case that there is no right answer... only opinions. I would probably classify this as a koifish, but it's not exactly a pristine example. I'm sure there is a better classification....  I'd be interested to hear @EcceruElme @christingle @wavewavewave  and @BLGoodwin  and their thoughts.
",chat,Subject 9880398; Alternate Identification: Tomte,/users/EcceruElme;/users/christingle;/users/wavewavewave;/users/BLGoodwin,@EcceruElme;@christingle;@wavewavewave;@BLGoodwin,,,0,0,1,0,0,0,0,0
1604198895-1642,"How about #hangingdrop ?
",collections,Hashtags,/projects/zooniverse/gravity-spy/talk/tags/hangingdrop,,,,0,0,0,0,1,0,0,0
1604198638-870,"unusual repeating blips with pairs. #possiblenewglitch @EcceruElme ?
",collections,ram discussion,/projects/zooniverse/gravity-spy/talk/subjects/5804715;/projects/zooniverse/gravity-spy/talk/tags/possiblenewglitch;/users/EcceruElme,@EcceruElme,,,1,0,1,0,1,0,0,0
1604198543-609,"Awesome, this is wonderful news. Thank you for all your hard work and for letting us know! We love good updates 
",collections,Exciting changes to Collections are coming!,,,,😃,1,0,0,0,0,1,0,1
1604198892-1615,"This is great!
",collections,a summary - candidate classes and others,,,TRUE,,1,0,0,0,0,1,0,0
1604198850-1454,"2. HFB500 - pizzicato
(Candidate) training set pizzicato
Link to collection metadata
Sources for this candidate training set:

ER14 hfb500 by @EcceruElme
subjects mentioned in talk over the last few months by @AardvarkNick, @bamboo69, @Christingle, @Imvoib, @MonsieurFrey, @nepcwtch, @Pjs62600, @Pony_Rider, @SrirangCanTransit, and @UnbiasedBrigade
subjects noted by myself whilst classifying them (as NOTA so far)
subjects noted in #simsearch results apropos of subjects also belonging to this proposed new class
subjects coming up serendipitously in #simsearch results apropos of subjects of other types

Properties and known biases of the training set:
I consciously aimed for covering the whole timeline from ER14 when these glitches were first noted, through early and late O3a when they began to show up also at the higher frequency, through early O3b when (in the presence of a persistently rung-up 1017Hz violin mode) they were very frequent at Livingston for a while, all the way into the present month. The peak in the first three weeks of November 2019 (amounting to 55% of the training set) is, if anything, under-represented: Subjects from this time make up fully 80% of my own ""pizzicato"" collection which, however, under-represents ER14 (since I joined Gravity Spy only in August 2019, by which time O3 subjects began to drown out those from the earlier eras in Gravity Spy). December 2019 and January 2020 will be under-represented in any case since these subjects have only recently been uploaded to Gravity Spy and have not yet been seen by many contributors. Even so, we have recent examples from both Hanford and Livingston.
The 94-member candidate set is free of duplicates. It spans SNRs from 7.503 to 67.3. It reflects the variability in morphology, with the characteristic central bulge-with-a-whole at either ~512Hz or ~1024Hz or sometimes both, with or without lateral ""wings"", with or without vertical (""lighthouse"") extensions, often appearing alone but occasionally in combination with fainter noise at lower frequencies or with bright glitches of other types, e.g. Scattered Light. (Only examples where the present type is near t=0 and brighter than the other type are included.)
Motivation:
These glitches keep occurring... and aren't all that rare. They are easy to classify by humans, and the machine, once properly trained, should also be able to do a good job on them. (And it would be useful to have the classification option available in the advanced levels.)
SimSearch suggests that the ML sometimes already does a fairly good job at clustering these - e.g. 200 from H1+L1 based on 38015308 finds only a small number of whistles, rung-up violins, and one subject without anything visible above 500Hz as false positives. Do the same starting from 32908659 from early O3a, however, and the returned subjects at present are widely scattered, with a large fraction of HF Bursts, Whistles, showers, etc, even among the upper 50% of the similarity scores.
Any comments / suggestions / criticism before we do anything else with this set? @researchers
Thanks in advance!
",collections,Retrain,/projects/zooniverse/gravity-spy/collections/zngabitant/training-set-pizzicato;https://gravityspytools.ciera.northwestern.edu/collection-info/collection-info/?username=zngabitant&collection_display_name=training-set-pizzicato;/projects/zooniverse/gravity-spy/collections/ecceruelme/er14-hfb500;/users/EcceruElme;/users/AardvarkNick;/users/bamboo69;/users/Christingle;/users/Imvoib;/users/MonsieurFrey;/users/nepcwtch;/users/Pjs62600;/users/Pony_Rider;/users/SrirangCanTransit;/users/UnbiasedBrigade;/projects/zooniverse/gravity-spy/talk/tags/simsearch;/projects/zooniverse/gravity-spy/talk/762/935664;/projects/zooniverse/gravity-spy/talk/tags/simsearch;/projects/zooniverse/gravity-spy/collections/zngabitant/pizzicato,"@EcceruElme;@AardvarkNick,;@bamboo69,;@Christingle,;@Imvoib,;@MonsieurFrey,;@nepcwtch,;@Pjs62600,;@Pony_Rider,;@SrirangCanTransit,;@UnbiasedBrigade;@researchers",,,0,0,1,1,1,1,0,0
